claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported
CLM1058,34,M,1,87,76793,0,0,Rent,57915,2023-06-21,Wednesday,Highway,0,0,12,Online,1,3,Medium,11168,Black,43563,12091,2000,732,18,3,N
CLM1059,51,M,0,9,97735,1,1,Rent,91264,2023-08-18,Friday,Local,1,1,40,Broker,0,4,Large,67981,Red,20123,8511,500,2261,59,7,N
CLM1060,50,M,1,54,47285,1,0,Own,11605,2023-05-18,Thursday,Highway,3,0,93,Online,1,10,Compact,18918,Black,21119,11581,500,1258,3,2,Y
CLM1061,53,F,0,25,58110,1,1,Rent,26389,2022-11-18,Friday,Local,3,1,91,Phone,0,10,Medium,5117,White,47685,8842,1000,1446,62,8,N
CLM1062,25,M,1,27,66514,0,0,Own,98236,2022-10-27,Thursday,Highway,4,0,69,Broker,0,9,Large,47101,Red,27386,5470,2000,1031,12,0,N
CLM1063,81,F,0,39,21828,0,1,Rent,11917,2022-05-19,Thursday,Parking Lot,3,1,76,Broker,0,10,Large,52362,Blue,21128,6013,1000,2539,10,4,N
CLM1064,61,F,0,3,136748,0,0,Rent,15287,2023-10-04,Wednesday,Highway,3,0,64,Broker,0,14,Large,68076,Blue,44336,21286,1500,2494,15,7,N
CLM1065,52,F,0,95,62078,1,1,Rent,93524,2022-11-14,Monday,Local,3,1,49,Phone,0,13,Medium,72444,White,9567,5696,2000,2070,1,7,N
CLM1066,77,F,1,65,107388,0,0,Own,18007,2022-08-17,Wednesday,Parking Lot,5,0,59,Online,1,13,Medium,20524,White,20282,8773,1000,631,89,12,N
CLM1067,35,F,1,41,79207,1,0,Rent,85046,2023-09-08,Friday,Parking Lot,5,1,31,Broker,1,2,Large,78340,Red,7565,2798,1500,1074,15,0,N
CLM1068,83,F,0,79,147796,0,1,Rent,46455,2022-04-14,Thursday,Parking Lot,2,1,38,Phone,1,2,Medium,46157,White,28202,11671,2000,1971,15,12,N
CLM1069,44,M,1,37,71356,1,1,Own,20789,2023-03-17,Friday,Local,0,0,100,Online,1,10,Large,7336,White,39141,7917,1000,2357,10,4,N
CLM1070,55,F,1,14,43710,1,0,Own,39486,2022-08-16,Tuesday,Local,4,0,87,Phone,1,3,Medium,45631,Red,36996,13685,500,2594,68,11,N
CLM1071,44,M,0,96,120978,0,1,Own,49666,2022-10-19,Wednesday,Parking Lot,1,1,42,Broker,0,10,Compact,76315,Red,13298,7706,500,1211,23,9,N
CLM1072,29,M,1,91,95916,1,1,Rent,83319,2022-07-29,Friday,Local,0,1,96,Broker,1,14,Medium,32306,Black,20915,3160,2000,1847,5,7,Y
CLM1073,48,M,0,10,139797,0,1,Rent,96066,2022-01-29,Saturday,Local,5,1,39,Broker,1,8,Medium,8797,Silver,48882,15907,2000,2136,21,9,N
CLM1074,71,M,1,88,39256,1,1,Rent,63173,2023-07-21,Friday,Parking Lot,2,1,39,Phone,1,14,Compact,73244,Black,12694,1616,2000,701,52,8,Y
CLM1075,58,M,1,36,45150,0,1,Rent,73731,2023-06-21,Wednesday,Parking Lot,1,1,74,Phone,0,5,Large,13577,White,9070,2480,1000,917,91,0,N
CLM1076,76,F,0,52,135893,1,0,Rent,77526,2022-06-29,Wednesday,Highway,5,0,87,Phone,0,0,Compact,42148,Red,29734,7100,1500,2703,85,0,Y
CLM1077,66,F,1,21,72853,0,1,Rent,34917,2023-04-21,Friday,Local,4,1,48,Online,0,6,Medium,6759,White,42949,20399,1000,1451,83,13,Y
CLM1078,46,F,0,50,106444,0,1,Own,52460,2022-10-13,Thursday,Parking Lot,2,0,17,Phone,0,0,Medium,69077,Silver,39258,12823,500,693,92,0,N
CLM1079,55,M,1,52,139614,0,1,Rent,75155,2022-09-21,Wednesday,Local,4,1,54,Broker,0,6,Medium,53770,Red,14087,3326,1000,2401,34,11,N
CLM1080,72,M,0,93,46399,0,1,Own,95382,2022-12-15,Thursday,Local,0,0,56,Broker,1,6,Medium,60106,Silver,48063,9519,2000,2290,72,5,N
CLM1081,84,F,0,52,44160,1,1,Own,95595,2022-09-21,Wednesday,Highway,1,1,34,Phone,1,7,Medium,36821,Red,10503,5543,1500,951,37,5,N
CLM1082,72,F,1,49,67057,0,1,Rent,16150,2022-11-26,Saturday,Highway,0,0,22,Phone,1,4,Medium,58394,Silver,21079,4020,1500,2071,29,11,N
CLM1083,18,M,1,48,43236,1,0,Own,97955,2023-06-07,Wednesday,Parking Lot,1,1,1,Phone,0,2,Medium,19596,Silver,34572,10534,1000,2257,9,1,N
CLM1084,41,M,1,82,145641,0,0,Own,58285,2023-09-24,Sunday,Local,2,1,86,Broker,1,0,Medium,33529,Black,36954,13164,500,1020,40,1,N
CLM1085,39,F,1,5,75961,1,0,Own,86908,2023-09-02,Saturday,Highway,4,1,74,Online,1,5,Compact,66268,Silver,27665,10741,2000,2581,17,4,N
CLM1086,44,F,1,58,101182,0,1,Own,92565,2022-06-17,Friday,Highway,1,0,11,Online,1,12,Medium,52924,Silver,9646,3729,500,1201,46,1,N
CLM1087,82,F,0,52,41172,1,0,Rent,21555,2023-01-06,Friday,Local,1,1,28,Online,1,4,Medium,58002,Silver,25063,13979,500,686,39,7,N
CLM1088,72,M,1,25,24853,0,1,Own,99399,2022-10-16,Sunday,Parking Lot,1,0,35,Online,1,14,Medium,72298,Silver,32987,4146,2000,864,98,8,N
CLM1089,57,M,0,18,74912,0,0,Rent,44008,2022-03-02,Wednesday,Local,2,0,41,Broker,0,8,Medium,18350,Black,25354,12919,2000,1752,44,2,N
CLM1090,29,F,1,20,111748,1,0,Rent,79626,2022-01-17,Monday,Parking Lot,1,0,56,Phone,1,6,Large,62134,White,21491,7972,1500,715,83,7,N
CLM1091,42,M,1,83,82552,1,0,Rent,87454,2023-07-25,Tuesday,Highway,1,1,25,Online,1,14,Compact,32935,Red,38641,15229,1500,900,23,9,N
CLM1092,24,M,0,15,57198,1,0,Own,18820,2023-06-03,Saturday,Parking Lot,0,0,47,Broker,1,7,Compact,46786,Black,30398,15128,1000,1489,39,2,N
CLM1093,34,M,0,15,94910,0,0,Rent,62375,2023-09-12,Tuesday,Highway,3,0,44,Phone,0,1,Compact,7983,Blue,32705,15122,1500,863,39,7,N
CLM1094,42,M,0,14,47345,0,0,Own,89273,2022-04-18,Monday,Local,5,0,65,Online,1,6,Compact,57393,Black,1545,170,1500,1258,13,12,Y
CLM1095,56,M,0,47,36371,1,0,Own,55084,2023-04-22,Saturday,Local,5,1,56,Phone,0,7,Large,63606,Blue,11616,5623,1000,1420,84,4,N
CLM1096,66,M,1,4,129996,1,0,Own,43933,2023-01-11,Wednesday,Local,5,1,67,Phone,0,1,Large,45600,Red,26280,14589,500,2498,73,0,N
CLM1097,29,M,1,60,63001,0,0,Own,77364,2022-03-02,Wednesday,Local,4,1,42,Phone,1,11,Large,42573,Blue,1806,974,2000,1825,88,10,N
CLM1098,42,M,0,72,100435,0,1,Rent,72211,2023-07-25,Tuesday,Highway,3,1,92,Phone,1,14,Large,43197,Red,42844,22078,500,1889,74,10,Y
CLM1099,58,F,1,4,34199,1,1,Rent,91412,2022-02-23,Wednesday,Highway,0,1,8,Broker,0,2,Compact,67483,White,19297,6995,2000,2414,35,1,N
CLM1100,34,M,1,89,44578,0,0,Rent,38831,2022-04-30,Saturday,Parking Lot,4,0,88,Phone,1,8,Medium,39701,Red,18764,2734,500,2140,56,2,Y
CLM1101,46,F,1,10,37602,1,0,Own,98801,2022-11-28,Monday,Highway,1,1,8,Broker,0,14,Large,47520,Blue,16585,5045,1500,1474,38,7,N
CLM1102,65,M,1,91,61873,0,1,Own,19903,2023-08-16,Wednesday,Parking Lot,1,1,39,Broker,0,12,Large,7396,Silver,19546,10014,1500,2091,40,1,N
CLM1103,50,F,0,7,106231,0,0,Rent,17314,2022-12-02,Friday,Highway,3,0,96,Online,0,10,Compact,70082,Blue,19088,5096,1000,2216,42,3,N
CLM1104,55,F,1,61,42534,1,1,Own,73620,2023-07-11,Tuesday,Local,1,1,30,Online,1,6,Medium,7719,Blue,23890,5119,500,2074,31,1,N
CLM1105,29,M,0,40,95713,0,0,Own,97263,2023-06-09,Friday,Local,5,1,26,Online,1,0,Large,39832,Blue,32966,9505,2000,947,88,12,N
CLM1106,47,F,1,72,49257,0,0,Rent,97272,2022-08-12,Friday,Local,1,0,62,Phone,1,11,Medium,31660,Silver,6084,3007,500,2387,68,10,Y
CLM1107,29,M,1,23,83888,0,0,Own,83609,2023-12-06,Wednesday,Local,5,0,89,Broker,1,7,Large,72889,Silver,24821,14563,500,784,76,3,N
CLM1108,69,M,1,77,107046,1,0,Own,67372,2022-02-02,Wednesday,Local,5,0,78,Online,1,2,Compact,32082,Red,30241,3039,500,1953,98,12,N
CLM1109,30,F,0,40,88878,1,0,Rent,51846,2022-06-06,Monday,Parking Lot,2,1,31,Online,1,1,Medium,57307,Red,4093,678,1500,1488,21,4,N
CLM1110,23,M,1,20,83416,0,1,Own,42196,2023-01-22,Sunday,Parking Lot,2,1,0,Online,1,9,Compact,24982,Red,12425,2566,500,2355,25,7,N
CLM1111,32,M,1,81,105530,1,0,Rent,31563,2023-03-06,Monday,Local,0,1,16,Broker,1,12,Compact,73916,White,9711,4714,500,2209,50,3,Y
CLM1112,81,M,1,45,127188,1,0,Own,15655,2023-01-13,Friday,Highway,2,0,19,Phone,0,13,Compact,5526,Blue,4224,425,1000,1759,84,3,N
CLM1113,65,M,0,61,149749,1,1,Rent,15109,2023-05-16,Tuesday,Parking Lot,4,1,1,Online,1,7,Compact,34759,Red,21172,3700,500,773,94,1,N
CLM1114,55,F,1,33,26154,1,1,Own,31804,2023-12-30,Saturday,Local,0,0,40,Phone,1,7,Large,54930,White,33981,16126,500,2076,17,11,N
CLM1115,49,F,1,80,94319,0,0,Rent,58787,2023-11-04,Saturday,Local,1,0,39,Phone,0,1,Large,68483,Blue,7368,1060,2000,2449,33,12,Y
CLM1116,39,M,0,67,101061,1,0,Rent,33398,2022-03-31,Thursday,Parking Lot,5,0,14,Online,0,1,Compact,70641,Black,10078,4385,2000,2395,75,12,N
CLM1117,23,F,0,10,125221,1,1,Rent,36015,2023-07-07,Friday,Local,1,1,75,Phone,0,7,Medium,31289,Silver,4389,2158,500,610,7,10,N
CLM1118,21,F,0,7,47961,1,1,Rent,91941,2023-02-14,Tuesday,Parking Lot,2,0,40,Phone,0,11,Medium,41877,Black,47026,21745,1500,2634,12,12,N
CLM1119,36,F,1,56,143629,0,0,Rent,62579,2023-11-16,Thursday,Parking Lot,4,1,52,Online,1,6,Compact,25049,Blue,11181,5138,500,1161,37,7,N
CLM1120,20,F,1,29,99561,0,1,Rent,18946,2022-02-04,Friday,Highway,4,0,92,Phone,1,5,Compact,60230,Black,47286,10820,1000,1855,49,13,N
CLM1121,75,M,0,62,120375,1,0,Own,84131,2023-05-31,Wednesday,Parking Lot,3,1,19,Online,0,11,Medium,44063,Red,49689,26509,1000,1107,36,9,N
CLM1122,83,M,0,80,46017,0,1,Own,86707,2022-10-22,Saturday,Local,1,1,57,Online,0,5,Large,53364,Blue,34297,14260,1500,1293,8,3,N
CLM1123,59,F,0,45,86061,0,1,Rent,98397,2022-01-02,Sunday,Highway,4,1,68,Online,1,5,Large,9648,Silver,36133,5372,2000,880,14,7,N
CLM1124,19,F,0,71,121520,0,0,Rent,71272,2022-01-28,Friday,Highway,1,1,34,Phone,0,4,Medium,18760,Blue,22927,9156,500,800,23,10,N
CLM1125,31,F,0,81,144873,0,1,Rent,81260,2022-12-27,Tuesday,Parking Lot,0,0,4,Phone,0,3,Compact,28499,Red,24040,5439,1500,2503,28,8,N
CLM1126,64,M,1,77,112324,0,1,Rent,19847,2023-07-10,Monday,Highway,3,1,78,Broker,1,5,Compact,5619,White,18658,2909,1500,2881,2,8,N
CLM1127,37,M,1,27,47420,0,0,Own,90896,2022-04-29,Friday,Local,2,1,69,Online,0,4,Medium,33404,Red,38946,10051,2000,1508,51,13,N
CLM1128,37,M,0,54,55057,0,1,Own,11239,2022-09-08,Thursday,Highway,2,1,97,Broker,1,8,Compact,66212,Silver,16398,5368,500,2974,50,6,N
CLM1129,40,M,0,46,98131,1,1,Own,11969,2023-01-10,Tuesday,Highway,1,1,84,Online,0,0,Medium,28196,Blue,41287,8970,1000,2018,86,1,N
CLM1130,60,M,1,75,146365,1,0,Rent,65409,2022-05-25,Wednesday,Highway,1,1,7,Broker,0,14,Medium,55138,Silver,43823,21813,500,2487,33,0,N
CLM1131,31,M,1,54,62287,1,0,Rent,88916,2022-12-27,Tuesday,Local,1,1,61,Online,0,11,Large,74569,White,38873,15645,1500,1074,73,0,N
CLM1132,65,M,0,14,47208,1,0,Own,95150,2023-05-04,Thursday,Local,2,1,67,Online,0,1,Medium,34165,Red,2667,1156,2000,2944,23,2,N
CLM1133,18,M,0,89,126493,0,1,Own,61924,2023-10-17,Tuesday,Local,0,0,75,Broker,0,9,Compact,14108,Silver,13178,3878,1500,1996,33,0,N
CLM1134,52,F,1,45,99973,1,0,Own,73449,2022-09-24,Saturday,Local,2,1,71,Broker,1,13,Large,65233,White,26537,8803,1500,1526,85,9,N
CLM1135,83,F,1,71,112059,1,1,Rent,41348,2022-08-09,Tuesday,Highway,1,1,24,Online,1,11,Large,26636,Blue,17353,6304,1500,2263,15,10,N
CLM1136,63,M,1,44,78348,0,1,Own,34596,2023-02-11,Saturday,Parking Lot,2,1,79,Phone,0,14,Compact,44310,Silver,9906,2873,1500,823,21,12,N
CLM1137,51,F,1,79,26012,1,0,Rent,60115,2023-01-08,Sunday,Local,3,1,26,Broker,1,12,Medium,77430,Red,14467,5346,1500,605,36,13,N
CLM1138,66,M,0,78,43171,1,1,Own,96365,2023-04-04,Tuesday,Highway,3,0,73,Online,1,6,Compact,77588,Black,4654,1152,500,944,42,7,N
CLM1139,24,M,1,55,127904,1,1,Own,31675,2023-01-11,Wednesday,Parking Lot,4,0,46,Online,1,10,Large,70429,Silver,24669,8821,2000,1743,9,9,Y
CLM1140,27,M,0,89,96153,1,1,Rent,85388,2023-11-13,Monday,Parking Lot,0,1,25,Broker,0,10,Compact,39084,Black,46105,21483,2000,645,19,3,N
CLM1141,72,F,0,70,84174,1,1,Rent,36160,2023-04-28,Friday,Highway,3,1,97,Online,1,0,Compact,22014,White,15996,2365,1000,2966,92,6,N
CLM1142,27,M,1,74,47213,0,1,Own,67784,2022-09-11,Sunday,Parking Lot,0,1,1,Online,1,2,Medium,9358,White,29482,9474,1500,1498,24,11,N
CLM1143,59,F,0,33,111302,0,1,Own,49532,2022-02-05,Saturday,Highway,4,0,96,Broker,0,3,Large,19210,White,17456,4567,1500,2414,70,8,N
CLM1144,30,F,1,50,84315,0,0,Own,79249,2023-06-01,Thursday,Local,3,1,26,Online,1,4,Medium,61549,Red,35503,15104,2000,2928,58,2,N
CLM1145,19,M,0,88,139979,1,0,Rent,29201,2023-09-06,Wednesday,Local,0,1,34,Broker,0,1,Compact,14686,Red,47877,12772,500,1161,44,9,N
CLM1146,48,M,0,48,45592,1,0,Own,38982,2022-07-27,Wednesday,Local,1,0,61,Phone,1,13,Compact,73619,Silver,30328,7594,1000,2179,30,12,Y
CLM1147,22,F,0,85,146823,1,0,Own,72711,2022-12-30,Friday,Parking Lot,0,0,29,Broker,1,4,Medium,18395,White,21421,4895,500,955,32,0,N
CLM1148,55,M,0,99,145436,1,0,Rent,26163,2023-04-26,Wednesday,Parking Lot,1,0,65,Phone,1,8,Medium,40585,Silver,31682,6955,2000,2996,75,2,N
CLM1149,40,M,1,27,56035,1,1,Own,74977,2022-11-07,Monday,Parking Lot,5,0,34,Broker,1,5,Large,70450,Red,11382,6784,2000,743,12,0,Y
CLM1150,62,M,1,36,96957,0,1,Rent,70631,2023-11-01,Wednesday,Parking Lot,5,1,5,Phone,0,2,Large,36750,Blue,30619,15596,500,898,21,2,Y
CLM1151,19,F,0,36,92909,1,0,Rent,65249,2022-09-23,Friday,Local,0,0,65,Broker,0,8,Compact,68740,Silver,30984,17393,2000,2305,65,13,N
CLM1152,69,F,0,4,55298,0,1,Rent,61112,2022-01-25,Tuesday,Highway,4,0,97,Phone,1,7,Large,22347,Silver,17920,3875,2000,2479,12,11,Y
CLM1153,37,M,0,19,72188,1,1,Own,65099,2023-03-23,Thursday,Highway,5,1,31,Broker,0,12,Large,65545,Red,38947,10998,2000,2834,5,2,Y
CLM1154,19,F,0,12,69841,0,1,Own,56332,2022-02-25,Friday,Local,0,1,86,Phone,1,2,Compact,49936,Red,30794,4228,500,1679,62,13,Y
CLM1155,33,M,1,98,117539,1,0,Rent,56851,2023-09-07,Thursday,Parking Lot,0,1,100,Online,1,6,Medium,39171,Blue,42779,7994,500,919,38,6,N
CLM1156,80,M,0,63,119071,1,1,Rent,61196,2023-04-28,Friday,Parking Lot,2,1,91,Broker,0,5,Medium,36174,Blue,10956,3216,2000,1009,55,1,N
CLM1157,38,M,0,80,129204,0,0,Rent,33177,2023-04-16,Sunday,Local,1,1,38,Broker,0,4,Large,65428,Blue,23740,12277,1500,2885,45,3,N
CLM1158,77,M,1,12,24798,1,1,Rent,32420,2022-11-04,Friday,Parking Lot,4,1,25,Phone,0,13,Large,30121,Silver,38487,18038,500,1243,99,8,N
