claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported
CLM1053,60,F,0,76,136594.0,1,1,Own,16254,2023-10-25,Wednesday,Local,2,0,15,Phone,1,7,Large,63243.0,Silver,46415.0,20805.0,1500,780.0,67,2,N
CLM1054,49,M,0,51,48732.0,0,0,Rent,21314,2023-02-07,Tuesday,Local,4,0,4,Online,1,1,Medium,41668.0,Red,24061.0,3473.0,2000,2780.0,12,9,N
CLM1055,66,M,0,79,111865.0,1,0,Rent,91818,2022-03-14,Monday,Parking Lot,1,0,46,Phone,1,8,Large,48221.0,Blue,11478.0,4084.0,1500,606.0,63,12,Y
CLM1056,53,F,1,2,79399.0,1,1,Rent,89714,2022-09-10,Saturday,Local,3,1,78,Broker,0,14,Medium,5055.0,Black,46781.0,10200.0,1500,527.0,87,13,N
CLM1057,43,M,0,15,35034.0,0,0,Rent,15126,2022-01-03,Monday,Local,5,1,17,Broker,0,9,Large,39674.0,Black,36854.0,5617.0,1500,2154.0,28,9,N
CLM1058,34,M,1,87,76793.0,0,0,Rent,57915,2023-06-21,Wednesday,Highway,0,0,12,Online,1,3,Medium,11168.0,Black,43563.0,12091.0,2000,732.0,18,3,N
CLM1059,51,M,0,9,97735.0,1,1,Rent,91264,2023-08-18,Friday,Local,1,1,40,Broker,0,4,Large,67981.0,Red,20123.0,8511.0,500,2261.0,59,7,N
CLM1060,50,M,1,54,47285.0,1,0,Own,11605,2023-05-18,Thursday,Highway,3,0,93,Online,1,10,Compact,18918.0,Black,21119.0,11581.0,500,1258.0,3,2,Y
CLM1061,53,F,0,25,58110.0,1,1,Rent,26389,2022-11-18,Friday,Local,3,1,91,Phone,0,10,Medium,5117.0,White,47685.0,8842.0,1000,1446.0,62,8,N
CLM1062,25,M,1,27,66514.0,0,0,Own,98236,2022-10-27,Thursday,Highway,4,0,69,Broker,0,9,Large,47101.0,Red,27386.0,5470.0,2000,1031.0,12,0,N
CLM1063,81,F,0,39,21828.0,0,1,Rent,11917,2022-05-19,Thursday,Parking Lot,3,1,76,Broker,0,10,Large,52362.0,Blue,21128.0,6013.0,1000,2539.0,10,4,N
CLM1064,61,F,0,3,136748.0,0,0,Rent,15287,2023-10-04,Wednesday,Highway,3,0,64,Broker,0,14,Large,68076.0,Blue,44336.0,21286.0,1500,2494.0,15,7,N
CLM1065,52,F,0,95,62078.0,1,1,Rent,93524,2022-11-14,Monday,Local,3,1,49,Phone,0,13,Medium,72444.0,White,9567.0,5696.0,2000,2070.0,1,7,N
CLM1066,77,F,1,65,107388.0,0,0,Own,18007,2022-08-17,Wednesday,Parking Lot,5,0,59,Online,1,13,Medium,20524.0,White,20282.0,8773.0,1000,631.0,89,12,N
CLM1067,35,F,1,41,79207.0,1,0,Rent,85046,2023-09-08,Friday,Parking Lot,5,1,31,Broker,1,2,Large,78340.0,Red,7565.0,2798.0,1500,1074.0,15,0,N
CLM1068,83,F,0,79,147796.0,0,1,Rent,46455,2022-04-14,Thursday,Parking Lot,2,1,38,Phone,1,2,Medium,46157.0,White,28202.0,11671.0,2000,1971.0,15,12,N
CLM1069,44,M,1,37,71356.0,1,1,Own,20789,2023-03-17,Friday,Local,0,0,100,Online,1,10,Large,7336.0,White,39141.0,7917.0,1000,2357.0,10,4,N
CLM1070,55,F,1,14,43710.0,1,0,Own,39486,2022-08-16,Tuesday,Local,4,0,87,Phone,1,3,Medium,45631.0,Red,36996.0,13685.0,500,2594.0,68,11,N
CLM1071,44,M,0,96,120978.0,0,1,Own,49666,2022-10-19,Wednesday,Parking Lot,1,1,42,Broker,0,10,Compact,76315.0,Red,13298.0,7706.0,500,1211.0,23,9,N
CLM1072,29,M,1,91,95916.0,1,1,Rent,83319,2022-07-29,Friday,Local,0,1,96,Broker,1,14,Medium,32306.0,Black,20915.0,3160.0,2000,1847.0,5,7,Y
CLM1073,48,M,0,10,139797.0,0,1,Rent,96066,2022-01-29,Saturday,Local,5,1,39,Broker,1,8,Medium,8797.0,Silver,48882.0,15907.0,2000,2136.0,21,9,N
CLM1074,71,M,1,88,39256.0,1,1,Rent,63173,2023-07-21,Friday,Parking Lot,2,1,39,Phone,1,14,Compact,73244.0,Black,12694.0,1616.0,2000,701.0,52,8,Y
CLM1075,58,M,1,36,45150.0,0,1,Rent,73731,2023-06-21,Wednesday,Parking Lot,1,1,74,Phone,0,5,Large,13577.0,White,9070.0,2480.0,1000,917.0,91,0,N
CLM1076,76,F,0,52,135893.0,1,0,Rent,77526,2022-06-29,Wednesday,Highway,5,0,87,Phone,0,0,Compact,42148.0,Red,29734.0,7100.0,1500,2703.0,85,0,Y
CLM1077,66,F,1,21,72853.0,0,1,Rent,34917,2023-04-21,Friday,Local,4,1,48,Online,0,6,Medium,6759.0,White,42949.0,20399.0,1000,1451.0,83,13,Y
CLM1078,46,F,0,50,106444.0,0,1,Own,52460,2022-10-13,Thursday,Parking Lot,2,0,17,Phone,0,0,Medium,69077.0,Silver,39258.0,12823.0,500,693.0,92,0,N
CLM1079,55,M,1,52,139614.0,0,1,Rent,75155,2022-09-21,Wednesday,Local,4,1,54,Broker,0,6,Medium,53770.0,Red,14087.0,3326.0,1000,2401.0,34,11,N
CLM1080,72,M,0,93,46399.0,0,1,Own,95382,2022-12-15,Thursday,Local,0,0,56,Broker,1,6,Medium,60106.0,Silver,48063.0,9519.0,2000,2290.0,72,5,N
CLM1081,84,F,0,52,44160.0,1,1,Own,95595,2022-09-21,Wednesday,Highway,1,1,34,Phone,1,7,Medium,36821.0,Red,10503.0,5543.0,1500,951.0,37,5,N
CLM1082,72,F,1,49,67057.0,0,1,Rent,16150,2022-11-26,Saturday,Highway,0,0,22,Phone,1,4,Medium,58394.0,Silver,21079.0,4020.0,1500,2071.0,29,11,N
CLM1083,18,M,1,48,43236.0,1,0,Own,97955,2023-06-07,Wednesday,Parking Lot,1,1,1,Phone,0,2,Medium,19596.0,Silver,34572.0,10534.0,1000,2257.0,9,1,N
CLM1084,41,M,1,82,145641.0,0,0,Own,58285,2023-09-24,Sunday,Local,2,1,86,Broker,1,0,Medium,33529.0,Black,36954.0,13164.0,500,1020.0,40,1,N
CLM1085,39,F,1,5,75961.0,1,0,Own,86908,2023-09-02,Saturday,Highway,4,1,74,Online,1,5,Compact,66268.0,Silver,27665.0,10741.0,2000,2581.0,17,4,N
CLM1086,44,F,1,58,101182.0,0,1,Own,92565,2022-06-17,Friday,Highway,1,0,11,Online,1,12,Medium,52924.0,Silver,9646.0,3729.0,500,1201.0,46,1,N
CLM1087,82,F,0,52,41172.0,1,0,Rent,21555,2023-01-06,Friday,Local,1,1,28,Online,1,4,Medium,58002.0,Silver,25063.0,13979.0,500,686.0,39,7,N
CLM1088,72,M,1,25,24853.0,0,1,Own,99399,2022-10-16,Sunday,Parking Lot,1,0,35,Online,1,14,Medium,72298.0,Silver,32987.0,4146.0,2000,864.0,98,8,N
CLM1089,57,M,0,18,74912.0,0,0,Rent,44008,2022-03-02,Wednesday,Local,2,0,41,Broker,0,8,Medium,18350.0,Black,25354.0,12919.0,2000,1752.0,44,2,N
CLM1090,29,F,1,20,111748.0,1,0,Rent,79626,2022-01-17,Monday,Parking Lot,1,0,56,Phone,1,6,Large,62134.0,White,21491.0,7972.0,1500,715.0,83,7,N
CLM1091,42,M,1,83,82552.0,1,0,Rent,87454,2023-07-25,Tuesday,Highway,1,1,25,Online,1,14,Compact,32935.0,Red,38641.0,15229.0,1500,900.0,23,9,N
CLM1092,24,M,0,15,57198.0,1,0,Own,18820,2023-06-03,Saturday,Parking Lot,0,0,47,Broker,1,7,Compact,46786.0,Black,30398.0,15128.0,1000,1489.0,39,2,N
CLM1093,34,M,0,15,94910.0,0,0,Rent,62375,2023-09-12,Tuesday,Highway,3,0,44,Phone,0,1,Compact,7983.0,Blue,32705.0,15122.0,1500,863.0,39,7,N
CLM1094,42,M,0,14,47345.0,0,0,Own,89273,2022-04-18,Monday,Local,5,0,65,Online,1,6,Compact,57393.0,Black,1545.0,170.0,1500,1258.0,13,12,Y
CLM1095,56,M,0,47,36371.0,1,0,Own,55084,2023-04-22,Saturday,Local,5,1,56,Phone,0,7,Large,63606.0,Blue,11616.0,5623.0,1000,1420.0,84,4,N
CLM1096,66,M,1,4,129996.0,1,0,Own,43933,2023-01-11,Wednesday,Local,5,1,67,Phone,0,1,Large,45600.0,Red,26280.0,14589.0,500,2498.0,73,0,N
CLM1097,29,M,1,60,63001.0,0,0,Own,77364,2022-03-02,Wednesday,Local,4,1,42,Phone,1,11,Large,42573.0,Blue,1806.0,974.0,2000,1825.0,88,10,N
CLM1098,42,M,0,72,100435.0,0,1,Rent,72211,2023-07-25,Tuesday,Highway,3,1,92,Phone,1,14,Large,43197.0,Red,42844.0,22078.0,500,1889.0,74,10,Y
CLM1099,58,F,1,4,34199.0,1,1,Rent,91412,2022-02-23,Wednesday,Highway,0,1,8,Broker,0,2,Compact,67483.0,White,19297.0,6995.0,2000,2414.0,35,1,N
CLM1100,34,M,1,89,44578.0,0,0,Rent,38831,2022-04-30,Saturday,Parking Lot,4,0,88,Phone,1,8,Medium,39701.0,Red,18764.0,2734.0,500,2140.0,56,2,Y
CLM1101,46,F,1,10,37602.0,1,0,Own,98801,2022-11-28,Monday,Highway,1,1,8,Broker,0,14,Large,47520.0,Blue,16585.0,5045.0,1500,1474.0,38,7,N
CLM1102,65,M,1,91,61873.0,0,1,Own,19903,2023-08-16,Wednesday,Parking Lot,1,1,39,Broker,0,12,Large,7396.0,Silver,19546.0,10014.0,1500,2091.0,40,1,N
CLM1103,50,F,0,7,106231.0,0,0,Rent,17314,2022-12-02,Friday,Highway,3,0,96,Online,0,10,Compact,70082.0,Blue,19088.0,5096.0,1000,2216.0,42,3,N
CLM1104,55,F,1,61,42534.0,1,1,Own,73620,2023-07-11,Tuesday,Local,1,1,30,Online,1,6,Medium,7719.0,Blue,23890.0,5119.0,500,2074.0,31,1,N
CLM1105,29,M,0,40,95713.0,0,0,Own,97263,2023-06-09,Friday,Local,5,1,26,Online,1,0,Large,39832.0,Blue,32966.0,9505.0,2000,947.0,88,12,N
CLM1106,47,F,1,72,49257.0,0,0,Rent,97272,2022-08-12,Friday,Local,1,0,62,Phone,1,11,Medium,31660.0,Silver,6084.0,3007.0,500,2387.0,68,10,Y
CLM1107,29,M,1,23,83888.0,0,0,Own,83609,2023-12-06,Wednesday,Local,5,0,89,Broker,1,7,Large,72889.0,Silver,24821.0,14563.0,500,784.0,76,3,N
CLM1108,69,M,1,77,107046.0,1,0,Own,67372,2022-02-02,Wednesday,Local,5,0,78,Online,1,2,Compact,32082.0,Red,30241.0,3039.0,500,1953.0,98,12,N
CLM1109,30,F,0,40,88878.0,1,0,Rent,51846,2022-06-06,Monday,Parking Lot,2,1,31,Online,1,1,Medium,57307.0,Red,4093.0,678.0,1500,1488.0,21,4,N
CLM1110,23,M,1,20,83416.0,0,1,Own,42196,2023-01-22,Sunday,Parking Lot,2,1,0,Online,1,9,Compact,24982.0,Red,12425.0,2566.0,500,2355.0,25,7,N
CLM1111,32,M,1,81,105530.0,1,0,Rent,31563,2023-03-06,Monday,Local,0,1,16,Broker,1,12,Compact,73916.0,White,9711.0,4714.0,500,2209.0,50,3,Y
CLM1112,81,M,1,45,127188.0,1,0,Own,15655,2023-01-13,Friday,Highway,2,0,19,Phone,0,13,Compact,5526.0,Blue,4224.0,425.0,1000,1759.0,84,3,N
CLM1113,65,M,0,61,149749.0,1,1,Rent,15109,2023-05-16,Tuesday,Parking Lot,4,1,1,Online,1,7,Compact,34759.0,Red,21172.0,3700.0,500,773.0,94,1,N
CLM1114,55,F,1,33,26154.0,1,1,Own,31804,2023-12-30,Saturday,Local,0,0,40,Phone,1,7,Large,54930.0,White,33981.0,16126.0,500,2076.0,17,11,N
CLM1115,49,F,1,80,94319.0,0,0,Rent,58787,2023-11-04,Saturday,Local,1,0,39,Phone,0,1,Large,68483.0,Blue,7368.0,1060.0,2000,2449.0,33,12,Y
CLM1116,39,M,0,67,101061.0,1,0,Rent,33398,2022-03-31,Thursday,Parking Lot,5,0,14,Online,0,1,Compact,70641.0,Black,10078.0,4385.0,2000,2395.0,75,12,N
CLM1117,23,F,0,10,125221.0,1,1,Rent,36015,2023-07-07,Friday,Local,1,1,75,Phone,0,7,Medium,31289.0,Silver,4389.0,2158.0,500,610.0,7,10,N
CLM1118,21,F,0,7,47961.0,1,1,Rent,91941,2023-02-14,Tuesday,Parking Lot,2,0,40,Phone,0,11,Medium,41877.0,Black,47026.0,21745.0,1500,2634.0,12,12,N
CLM1119,36,F,1,56,143629.0,0,0,Rent,62579,2023-11-16,Thursday,Parking Lot,4,1,52,Online,1,6,Compact,25049.0,Blue,11181.0,5138.0,500,1161.0,37,7,N
CLM1120,20,F,1,29,99561.0,0,1,Rent,18946,2022-02-04,Friday,Highway,4,0,92,Phone,1,5,Compact,60230.0,Black,47286.0,10820.0,1000,1855.0,49,13,N
CLM1121,75,M,0,62,120375.0,1,0,Own,84131,2023-05-31,Wednesday,Parking Lot,3,1,19,Online,0,11,Medium,44063.0,Red,49689.0,26509.0,1000,1107.0,36,9,N
CLM1122,83,M,0,80,46017.0,0,1,Own,86707,2022-10-22,Saturday,Local,1,1,57,Online,0,5,Large,53364.0,Blue,34297.0,14260.0,1500,1293.0,8,3,N
CLM1123,59,F,0,45,86061.0,0,1,Rent,98397,2022-01-02,Sunday,Highway,4,1,68,Online,1,5,Large,9648.0,Silver,36133.0,5372.0,2000,880.0,14,7,N
CLM1124,19,F,0,71,121520.0,0,0,Rent,71272,2022-01-28,Friday,Highway,1,1,34,Phone,0,4,Medium,18760.0,Blue,22927.0,9156.0,500,800.0,23,10,N
CLM1125,31,F,0,81,144873.0,0,1,Rent,81260,2022-12-27,Tuesday,Parking Lot,0,0,4,Phone,0,3,Compact,28499.0,Red,24040.0,5439.0,1500,2503.0,28,8,N
CLM1126,64,M,1,77,112324.0,0,1,Rent,19847,2023-07-10,Monday,Highway,3,1,78,Broker,1,5,Compact,5619.0,White,18658.0,2909.0,1500,2881.0,2,8,N
CLM1127,37,M,1,27,47420.0,0,0,Own,90896,2022-04-29,Friday,Local,2,1,69,Online,0,4,Medium,33404.0,Red,38946.0,10051.0,2000,1508.0,51,13,N
CLM1128,37,M,0,54,55057.0,0,1,Own,11239,2022-09-08,Thursday,Highway,2,1,97,Broker,1,8,Compact,66212.0,Silver,16398.0,5368.0,500,2974.0,50,6,N
CLM1129,40,M,0,46,98131.0,1,1,Own,11969,2023-01-10,Tuesday,Highway,1,1,84,Online,0,0,Medium,28196.0,Blue,41287.0,8970.0,1000,2018.0,86,1,N
CLM1130,60,M,1,75,146365.0,1,0,Rent,65409,2022-05-25,Wednesday,Highway,1,1,7,Broker,0,14,Medium,55138.0,Silver,43823.0,21813.0,500,2487.0,33,0,N
CLM1131,31,M,1,54,62287.0,1,0,Rent,88916,2022-12-27,Tuesday,Local,1,1,61,Online,0,11,Large,74569.0,White,38873.0,15645.0,1500,1074.0,73,0,N
CLM1132,65,M,0,14,47208.0,1,0,Own,95150,2023-05-04,Thursday,Local,2,1,67,Online,0,1,Medium,34165.0,Red,2667.0,1156.0,2000,2944.0,23,2,N
CLM1133,18,M,0,89,126493.0,0,1,Own,61924,2023-10-17,Tuesday,Local,0,0,75,Broker,0,9,Compact,14108.0,Silver,13178.0,3878.0,1500,1996.0,33,0,N
CLM1134,52,F,1,45,99973.0,1,0,Own,73449,2022-09-24,Saturday,Local,2,1,71,Broker,1,13,Large,65233.0,White,26537.0,8803.0,1500,1526.0,85,9,N
CLM1135,83,F,1,71,112059.0,1,1,Rent,41348,2022-08-09,Tuesday,Highway,1,1,24,Online,1,11,Large,26636.0,Blue,17353.0,6304.0,1500,2263.0,15,10,N
CLM1136,63,M,1,44,78348.0,0,1,Own,34596,2023-02-11,Saturday,Parking Lot,2,1,79,Phone,0,14,Compact,44310.0,Silver,9906.0,2873.0,1500,823.0,21,12,N
CLM1137,51,F,1,79,26012.0,1,0,Rent,60115,2023-01-08,Sunday,Local,3,1,26,Broker,1,12,Medium,77430.0,Red,14467.0,5346.0,1500,605.0,36,13,N
CLM1138,66,M,0,78,43171.0,1,1,Own,96365,2023-04-04,Tuesday,Highway,3,0,73,Online,1,6,Compact,77588.0,Black,4654.0,1152.0,500,944.0,42,7,N
CLM1139,24,M,1,55,127904.0,1,1,Own,31675,2023-01-11,Wednesday,Parking Lot,4,0,46,Online,1,10,Large,70429.0,Silver,24669.0,8821.0,2000,1743.0,9,9,Y
CLM1140,27,M,0,89,96153.0,1,1,Rent,85388,2023-11-13,Monday,Parking Lot,0,1,25,Broker,0,10,Compact,39084.0,Black,46105.0,21483.0,2000,645.0,19,3,N
CLM1141,72,F,0,70,84174.0,1,1,Rent,36160,2023-04-28,Friday,Highway,3,1,97,Online,1,0,Compact,22014.0,White,15996.0,2365.0,1000,2966.0,92,6,N
CLM1142,27,M,1,74,47213.0,0,1,Own,67784,2022-09-11,Sunday,Parking Lot,0,1,1,Online,1,2,Medium,9358.0,White,29482.0,9474.0,1500,1498.0,24,11,N
